commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,0,1,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,1,300,13,0,0,0
15,0,0,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,1,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,1,300,13,0,0,0
15,0,3,300,13,0,0,0
15,1,4,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,4,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,4,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,1,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,4,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,1,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,1,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,4,300,13,15,13,300
15,1,2,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,3,300,13,15,13,300
15,1,1,300,13,15,13,300
15,1,1,300,13,15,13,300
15,0,3,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,1,400,13,0,0,0
15,0,3,400,13,0,0,0
15,0,3,400,13,0,0,0
15,0,3,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,4,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,1,400,13,0,0,0
15,0,3,400,13,0,0,0
15,0,0,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,3,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,0,400,13,0,0,0
15,0,4,400,13,0,0,0
15,0,2,400,13,0,0,0
15,0,4,400,13,0,0,0
15,1,2,400,13,15,13,400
15,1,0,400,13,15,13,400
15,1,2,400,13,15,13,400
15,1,3,400,13,15,13,400
15,1,2,400,13,15,13,400
15,1,0,400,13,15,13,400
15,1,2,400,13,15,13,400
15,1,1,400,13,15,13,400
15,1,0,400,13,15,13,400
15,1,3,400,13,15,13,400
15,1,3,400,13,15,13,400
15,1,3,400,13,15,13,400
15,1,2,400,13,15,13,400
15,0,3,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,4,500,13,0,0,0
15,0,4,500,13,0,0,0
15,0,2,500,13,0,0,0
15,0,1,500,13,0,0,0
15,0,3,500,13,0,0,0
15,0,3,500,13,0,0,0
15,1,3,500,13,15,13,500
15,1,4,500,13,15,13,500
15,1,2,500,13,15,13,500
15,1,3,500,13,15,13,500
15,1,4,500,13,15,13,500
15,1,3,500,13,15,13,500
15,1,2,500,13,15,13,500
15,0,3,700,13,0,0,0
15,0,2,700,13,0,0,0
15,0,3,700,13,0,0,0
15,0,2,700,13,0,0,0
15,0,3,700,13,0,0,0
15,0,2,700,13,0,0,0
15,0,3,700,13,0,0,0
15,1,3,12.5,14,15,14,12.5
15,1,3,12.5,14,15,14,12.5
15,1,1,12.5,14,15,14,12.5
15,1,2,12.5,14,15,14,12.5
15,1,2,12.5,14,15,14,12.5
15,1,4,12.5,14,15,14,12.5
15,1,3,12.5,14,15,14,12.5
15,1,2,12.5,14,15,14,12.5
15,1,2,12.5,14,15,14,12.5
15,1,2,12.5,14,15,14,12.5
15,1,3,50,14,15,14,50
15,1,3,50,14,15,14,50
15,1,0,50,14,15,14,50
15,1,1,50,14,15,14,50
15,1,3,50,14,15,14,50
15,1,3,50,14,15,14,50
15,1,2,50,14,15,14,50
15,1,3,50,14,15,14,50
15,1,0,50,14,15,14,50
15,1,2,50,14,15,14,50
15,1,3,50,14,15,14,50
15,1,2,50,14,15,14,50
15,1,2,50,14,15,14,50
15,1,3,50,14,15,14,50
